,siren,effectifs,code_specialite_1,nb_stagiaires_1,nb_heures_stagiaires_1, 
67643,800480378,1,, , , 
38881,829502053,0,128.0,0,0, 
38913,811130335,0,118.0,0,0, 
42803,539240887,0,312.0,0,0, 
42800,880619705,0,314.0,0,0, 
42804,409120409,0,255.0,0,0, 
42631,823859384,0,300.0,0,0, 
42628,352433759,0,324.0,0,0, 
42807,510899081,0,326.0,0,0, 
42945,490557550,5,123.0,0,0, 
85944,819397936,0,300.0,0,0, 
85995,419086848,0,314.0,0,0, 
38914,880566104,0,312.0,0,0, 
42626,842302200,0,326.0,0,0, 
42794,814330866,1,100.0,0,0, 
42938,851455964,0,314.0,0,0, 
42633,512173048,1,110.0,0,0, 
85990,521952911,1,314.0,0,0, 
38848,848066585,0,312.0,0,0, 
42649,880744248,0,415.0,0,0, 
85991,517570131,1,123.0,0,0, 
42940,849695077,0,313.0,0,0, 
42650,327269718,0,326.0,0,0, 
42646,881719306,0,330.0,0,0, 
42643,841935158,0,128.0,0,0, 
42652,411264096,0,415.0,0,0, 
85993,833542046,0,326.0,0,0, 
42853,407727312,0,326.0,0,0, 
42625,491227518,0,311.0,0,0, 
42805,838814127,0,311.0,0,0, 
42636,880923081,0,100.0,0,0, 
42806,428699052,1,100.0,0,0, 
42941,483305694,1,211.0,0,0, 
42653,525202024,1,213.0,0,0, 
38847,407678168,0,212.0,0,0, 
42854,519613194,1,320.0,0,0, 
42862,429186224,0,331.0,0,0, 
38885,811536259,0,326.0,0,0, 
42622,844959262,1,413.0,0,0, 
42958,410470322,2,312.0,0,0, 
42809,530433846,0,315.0,0,0, 
42824,442874863,1,315.0,0,0, 
42599,429950868,0,136.0,0,0, 
42846,753930908,3,312.0,0,0, 
38917,539402396,1,136.0,0,0, 
42598,880531470,0,124.0,0,0, 
86734,840606222,0,410.0,0,0, 
42589,752429316,1,344.0,0,0, 
42844,810164426,0,221.0,0,0, 
42842,492586441,0,255.0,0,0, 
42828,853925154,0,324.0,0,0, 
38841,825236953,0,315.0,0,0, 
42841,309083046,0,220.0,0,0, 
42584,819022500,1,321.0,0,0, 
42578,822321543,0,333.0,0,0, 
42576,799674692,3,221.0,0,0, 
42575,811781798,0,415.0,0,0, 
42568,343407987,0,250.0,0,0, 
85964,818118853,1,313.0,0,0, 
42969,803580562,0,300.0,0,0, 
42970,421867524,2,314.0,0,0, 
42565,844905695,0,326.0,0,0, 
42603,322134073,32,312.0,0,0, 
42950,303251243,0,310.0,0,0, 
42968,533235040,0,326.0,0,0, 
42850,513139071,0,300.0,0,0, 
85997,844756536,0,326.0,0,0, 
42618,491564845,1,331.0,0,0, 
38846,848612321,0,324.0,0,0, 
42617,424463743,0,414.0,0,0, 
38845,848945655,1,120.0,0,0, 
85943,843697921,0,251.0,0,0, 
42810,524897139,0,324.0,0,0, 
42815,812004323,1,312.0,0,0, 
42852,799182258,0,332.0,0,0, 
42616,387573991,0,331.0,0,0, 
42615,818204786,0,333.0,0,0, 
42818,752887893,1,134.0,0,0, 
42963,852570001,0,314.0,0,0, 
42613,527670129,0,333.0,0,0, 
42819,482183696,1,232.0,0,0, 
42609,415145358,0,330.0,0,0, 
85938,519589402,0,255.0,0,0, 
42820,442960845,0,313.0,0,0, 
42607,847638087,0,127.0,0,0, 
38843,840084578,0,344.0,0,0, 
38876,817927296,0,423.0,0,0, 
42604,880379391,0,314.0,0,0, 
42863,450744024,1,312.0,0,0, 
42768,414130385,0,120.0,0,0, 
42793,845075811,0,320.0,0,0, 
42746,484918776,0,314.0,0,0, 
85972,840140578,0,314.0,0,0, 
42741,304940869,8,100.0,0,0, 
42739,835367434,1,312.0,0,0, 
42736,839435484,0,326.0,0,0, 
38920,804810968,0,333.0,0,0, 
38860,804151371,0,331.0,0,0, 
42780,442519922,0,243.0,0,0, 
86730,849314117,0,311.0,0,0, 
42734,482939824,1,227.0,0,0, 
85973,844899021,0,326.0,0,0, 
38897,530079052,0,423.0,0,0, 
85974,842468456,0,300.0,0,0, 
42726,814440830,0,315.0,0,0, 
38909,831313234,1,336.0,0,0, 
42724,850736752,0,128.0,0,0, 
42719,533599312,0,333.0,0,0, 
42714,848282034,0,227.0,0,0, 
42883,851976779,0,100.0,0,0, 
42713,822330270,0,413.0,0,0, 
42866,418621686,3,100.0,0,0, 
85955,793572355,1,313.0,0,0, 
42712,833832512,0,221.0,0,0, 
42751,130011620,1,127.0,0,0, 
38906,848041828,0,314.0,0,0, 
42779,829660802,0,320.0,0,0, 
42752,331968990,3,115.0,0,0, 
42766,532924156,0,136.0,0,0, 
42770,821555273,0,124.0,0,0, 
42765,529354714,1,410.0,0,0, 
42873,834392565,1,330.0,0,0, 
42764,820443901,0,331.0,0,0, 
42771,853402709,0,312.0,0,0, 
42761,821232311,0,413.0,0,0, 
42760,377735386,0,315.0,0,0, 
42759,797481165,1,312.0,0,0, 
42772,820511129,0,332.0,0,0, 
42876,520259896,1,124.0,0,0, 
85953,804854677,6,314.0,0,0, 
42758,449922038,0,110.0,0,0, 
42868,813886181,0,331.0,0,0, 
38902,834784373,0,212.0,0,0, 
42757,854014362,0,331.0,0,0, 
42879,514369578,0,221.0,0,0, 
42756,527779227,0,344.0,0,0, 
38865,791953078,0,410.0,0,0, 
38903,819436577,1,410.0,0,0, 
42775,531502789,0,410.0,0,0, 
42776,522137462,0,124.0,0,0, 
42753,322771734,0,118.0,0,0, 
86724,534181623,0,326.0,0,0, 
42774,498100916,1,128.0,0,0, 
85987,794259101,0,100.0,0,0, 
38856,499638260,2,345.0,0,0, 
42710,830960027,0,128.0,0,0, 
85947,823032214,1,225.0,0,0, 
42684,850047432,0,412.0,0,0, 
42925,409696499,0,314.0,0,0, 
85983,818771164,1,201.0,0,0, 
42926,324420835,1,310.0,0,0, 
42928,805298742,1,312.0,0,0, 
42932,409967874,1,310.0,0,0, 
42674,834123366,0,231.0,0,0, 
42669,840811772,0,134.0,0,0, 
42668,825389430,0,320.0,0,0, 
42667,811692367,0,336.0,0,0, 
42788,791768757,0,413.0,0,0, 
42666,438035677,0,336.0,0,0, 
42933,808947204,1,100.0,0,0, 
42660,510637309,0,100.0,0,0, 
42935,824957070,0,320.0,0,0, 
42659,480263771,0,410.0,0,0, 
42658,828445049,0,110.0,0,0, 
38850,820606812,0,336.0,0,0, 
42936,388140352,0,100.0,0,0, 
42792,839455649,0,201.0,0,0, 
38912,530944776,0,313.0,0,0, 
42657,528522535,1,100.0,0,0, 
42685,820097921,0,413.0,0,0, 
85981,519060545,0,128.0,0,0, 
42864,822452181,0,331.0,0,0, 
85948,878031368,0,250.0,0,0, 
42709,321146078,1,124.0,0,0, 
85977,800034316,0,315.0,0,0, 
42893,400142642,3,310.0,0,0, 
38854,399406628,2,128.0,0,0, 
85978,850409533,0,312.0,0,0, 
42700,799841697,1,100.0,0,0, 
38889,519251706,1,100.0,0,0, 
42896,882061724,0,120.0,0,0, 
38910,842116758,0,414.0,0,0, 
42699,831268347,0,326.0,0,0, 
42835,793490087,0,312.0,0,0, 
85950,502960024,0,254.0,0,0, 
42899,832681001,0,999.0,0,0, 
85949,843952656,0,331.0,0,0, 
38853,398876847,0,100.0,0,0, 
42697,504430612,0,321.0,0,0, 
42903,879317360,0,300.0,0,0, 
42908,385355953,4,312.0,0,0, 
42696,793238965,0,100.0,0,0, 
42910,950407965,2,326.0,0,0, 
42914,390803955,0,223.0,0,0, 
42693,502768427,0,230.0,0,0, 
42784,384142915,2,312.0,0,0, 
42689,487593758,4,230.0,0,0, 
42900,791724545,0,313.0,0,0, 
38849,882469612,0,326.0,0,0, 
39619,483720371,1,136.0,0,0, 
42563,418767588,0,336.0,0,0, 
38985,385408414,0,312.0,0,0, 
42199,752582726,0,200.0,0,0, 
86077,802793158,0,136.0,0,0, 
42202,491316048,1,114.0,0,0, 
42204,330528647,0,333.0,0,0, 
42205,818386815,0,321.0,0,0, 
42207,832018287,0,331.0,0,0, 
38984,429316326,0,128.0,0,0, 
86701,493069793,1,322.0,0,0, 
42209,850020942,0,413.0,0,0, 
86075,817721947,0,330.0,0,0, 
42212,828024026,0,345.0,0,0, 
42213,838149094,0,321.0,0,0, 
42216,808555643,0,323.0,0,0, 
42221,808742704,0,136.0,0,0, 
42197,509482980,0,321.0,0,0, 
42224,519934095,1,311.0,0,0, 
42196,837730894,3,133.0,0,0, 
38986,489453100,0,321.0,0,0, 
42173,531313484,1,331.0,0,0, 
42176,809803216,1,330.0,0,0, 
86700,530039494,0,324.0,0,0, 
42178,845390855,0,333.0,0,0, 
38992,399482660,0,232.0,0,0, 
42179,813621281,0,220.0,0,0, 
42181,838531655,0,333.0,0,0, 
42182,522991314,1,321.0,0,0, 
42183,844345603,0,331.0,0,0, 
38991,317440766,0,331.0,0,0, 
38988,841146616,1,344.0,0,0, 
42184,753375286,1,136.0,0,0, 
42186,853192540,0,336.0,0,0, 
42187,843323437,0,413.0,0,0, 
42190,443537865,5,124.0,0,0, 
42192,519663173,0,315.0,0,0, 
38994,821439874,2,201.0,0,0, 
86702,800302515,0,333.0,0,0, 
86073,528468226,0,100.0,0,0, 
42262,818178360,0,326.0,0,0, 
86057,838610350,0,336.0,0,0, 
